q_nm^-1,I(q)_perVol,I_self_perVol,I_pair_perVol,I_pair0_perVol,I_pair2_perVol,Seff,Snn(q),O2(q),<|F|^2>,A0(q),A2(q),I0(q),I2(q)
1.011637979766207094e-03,1.233589927763911618e+02,1.233569002992399533e+02,2.092477151215338133e-03,2.092477150524219530e-03,6.911187141280781988e-13,1.000016962789646469e+00,6.638991099100076099e+01,2.026961124260852722e-04,3.854903134351248853e+06,9.999999994323449659e-01,1.065509326153363045e-04,1.626113681649504579e+05,5.040638787206566107e-01
1.059560179277615945e-03,1.233577106177824447e+02,1.233556245533731470e+02,2.086064409302753036e-03,2.086064408471941922e-03,8.308111763516111446e-13,1.000016910979267148e+00,6.618951280927954883e+01,2.221227947593388239e-04,3.854863267292911187e+06,9.999999993168936507e-01,1.168851188331101169e-04,1.621130187710823375e+05,5.523740743646143869e-01
1.109752496412072130e-03,1.233563041378738490e+02,1.233542250934475817e+02,2.079044426273662146e-03,2.079044425275006561e-03,9.986556692794778169e-13,1.000016854261981614e+00,6.597013834325194637e+01,2.433909972125274102e-04,3.854819534170236904e+06,9.999999991779608965e-01,1.282216270215330339e-04,1.615674792295754887e+05,6.052637548506165643e-01
1.162322468679851794e-03,1.233547612853045337e+02,1.233526899240419823e+02,2.071361262551930146e-03,2.071361261351636375e-03,1.200293607606702412e-12,1.000016792185592696e+00,6.573003948127147567e+01,2.666699431817779365e-04,3.854771560126312077e+06,9.999999990107707459e-01,1.406576788901214251e-04,1.609704023434047122e+05,6.631537442408568239e-01
1.217382727739662078e-03,1.233530688411196792e+02,1.233510058869771342e+02,2.062954142551002342e-03,2.062954141108515153e-03,1.442487071758666288e-12,1.000016724258774525e+00,6.546731698638448904e+01,2.921435008891359658e-04,3.854718933968035504e+06,9.999999988095767955e-01,1.542999274509434583e-04,1.603170650977375335e+05,7.265012852918362185e-01
1.275051240713012809e-03,1.233512123057741263e+02,1.233491585486722499e+02,2.053757101882811020e-03,2.053757100149472721e-03,1.733338220104782847e-12,1.000016649948212377e+00,6.517990947161119664e+01,3.200112266618332195e-04,3.854661204646008089e+06,9.999999985674616898e-01,1.692653721661908906e-04,1.596023412437074294e+05,7.958026338770576302e-01
1.335451562929898745e-03,1.233491757752257030e+02,1.233471320766028470e+02,2.043698622853124588e-03,2.043698620770573876e-03,2.082550622727274621e-12,1.000016568675642814e+00,6.486558200917811234e+01,3.504894376065135781e-04,3.854597877393838950e+06,9.999999982761029749e-01,1.856823629398236775e-04,1.588206729718987190e+05,8.715957265089855355e-01
1.398713102647238578e-03,1.233469418050690365e+02,1.233449091038077086e+02,2.032701261329160174e-03,2.032701258827420039e-03,2.501740186460873246e-12,1.000016479814822556e+00,6.452191447013407810e+01,3.838123017137777451e-04,3.854528409493991174e+06,9.999999979254844407e-01,2.036917015890839873e-04,1.579660419153505063e+05,9.544628912066510651e-01
1.464971398307284749e-03,1.233444912615618705e+02,1.233424705802927548e+02,2.020681269115267697e-03,2.020681266110462958e-03,3.004804630693382096e-12,1.000016382688457606e+00,6.414628972359335535e+01,4.202329294860426964e-04,3.854452205634148791e+06,9.999999975035527289e-01,2.234478502767758444e-04,1.570319398034818005e+05,1.045033562151431283e+00
1.534368408930013262e-03,1.233418031582852876e+02,1.233397956100680517e+02,2.007548217242040821e-03,2.007548213633678948e-03,3.608361940648676424e-12,1.000016276565137030e+00,6.373588186452339954e+01,4.600244463135715620e-04,3.854368612814626656e+06,9.999999969958029977e-01,2.451202573013009094e-04,1.560113391870014311e+05,1.143986946467455468e+00
1.607052818261638441e-03,1.233388544770617443e+02,1.233368612724346463e+02,1.993204627102509834e-03,1.993204622770240048e-03,4.332269879480609990e-12,1.000016160656324038e+00,6.328764468675360177e+01,5.034810188456116621e-04,3.854276914763582870e+06,9.999999963847789886e-01,2.688948116538297491e-04,1.548966647726322990e+05,1.252054576597231517e+00
1.683180353330956556e-03,1.233356199716218100e+02,1.233336424260036210e+02,1.977545618193422925e-03,1.977545612993182513e-03,5.200240486407436524e-12,1.000016034113476948e+00,6.279830067489204026e+01,5.509188012970366033e-04,3.854176325812613126e+06,9.999999956494745046e-01,2.949754388807179013e-04,1.536797660482543870e+05,1.370022663573204014e+00
1.762914118095947925e-03,1.233320719523703133e+02,1.233301114937869301e+02,1.960458583384528178e-03,1.960458577143962822e-03,6.240565518439213110e-12,1.000015896025387763e+00,6.226433085649151167e+01,6.026767587388763212e-04,3.854065984180841595e+06,9.999999947646098786e-01,3.235858519902230410e-04,1.523518920473117905e+05,1.498734144373340627e+00
1.846424942895542615e-03,1.233281800504449137e+02,1.233262382275397187e+02,1.941822905189418812e-03,1.941822897702447917e-03,7.486970988068565218e-12,1.000015745415842483e+00,6.168196593551227380e+01,6.591173136419978696e-04,3.853944944610616192e+06,9.999999936997626682e-01,3.549714725051558652e-04,1.509036692995435733e+05,1.639090289743361240e+00
1.933891750455232110e-03,1.233239109590906395e+02,1.233219894493611406e+02,1.921509729495289760e-03,1.921509720515668460e-03,8.979621264529403605e-12,1.000015581241740170e+00,6.104717922137299979e+01,7.206267489241518966e-04,3.853812170292535797e+06,9.999999924183221589e-01,3.894015382241648835e-04,1.493250842469759518e+05,1.792051706492514995e+00
2.025501939230666629e-03,1.233192281501881240e+02,1.233173287683714534e+02,1.899381816672384565e-03,1.899381805906088941e-03,1.076629556803705548e-11,1.000015402391826402e+00,6.035568197611292618e+01,7.876152850823628544e-04,3.853666524011608213e+06,9.999999908762289280e-01,4.271714158848185605e-04,1.476054716732639354e+05,1.958638529306099940e+00
2.121451784910629874e-03,1.233140915635695336e+02,1.233122162700755666e+02,1.875293493971526108e-03,1.875293481067764065e-03,1.290376197453391267e-11,1.000015207686234975e+00,5.960292192680068268e+01,8.605167302014187251e-04,3.853506758439861704e+06,9.999999890204610553e-01,4.686051386935833956e-04,1.457335110043554450e+05,2.139929550387979162e+00
2.221946860939523916e-03,1.233084572665360810e+02,1.233066081757984165e+02,1.849090737666003867e-03,1.849090722206627683e-03,1.545937608154506020e-11,1.000014995877066326e+00,5.878408583244618058e+01,9.397875791714283521e-04,3.853331505493700504e+06,9.999999867872086945e-01,5.140581906543361399e-04,1.436972326918776380e+05,2.337059979398418363e+00
2.327202478960407363e-03,1.233022770807470607e+02,1.233004564693285374e+02,1.820611418527881163e-03,1.820611400014948223e-03,1.851293299467684645e-11,1.000014765650271364e+00,5.789410715510165772e+01,1.025905411703233487e-03,3.853139264666516799e+06,9.999999840996797174e-01,5.639205617632554691e-04,1.414840372896000044e+05,2.551217459645243935e+00
2.437444150122221927e-03,1.232954981733896460e+02,1.232937084876396909e+02,1.789685749954001304e-03,1.789685727795199384e-03,2.215880189487352305e-11,1.000014515629158218e+00,5.692768006375052181e+01,1.119366406999731337e-03,3.852928390238740481e+06,9.999999808654580491e-01,6.186201005181352205e-04,1.390807302782491315e+05,2.783635887578462587e+00
2.552908068239516468e-03,1.232880626092478025e+02,1.232863064722634476e+02,1.756136984350959189e-03,1.756136957842587519e-03,2.650837159314792760e-11,1.000014244379887840e+00,5.587928119626828760e+01,1.220681755442067128e-03,3.852697077258232981e+06,9.999999769733238786e-01,6.786261927752614562e-04,1.364735761830656556e+05,3.035586489385892150e+00
2.673841615839946464e-03,1.232799068599780412e+02,1.232781870775678499e+02,1.719782410190081332e-03,1.719782378497248946e-03,3.169283241668644565e-11,1.000013950419380349e+00,5.474320081729395326e+01,1.330372703519655097e-03,3.852443346173995640e+06,9.999999722894262755e-01,7.444537988499243166e-04,1.336483760570737941e+05,3.308365498745025945e+00
2.800503894183630979e-03,1.232709612665558581e+02,1.232692808318465296e+02,1.680434709334159733e-03,1.680434671467846350e-03,3.786631345828820475e-11,1.000013632226115057e+00,5.351358523455768079e+01,1.448963916538471147e-03,3.852165025995204225e+06,9.999999666526770969e-01,8.166678839031586527e-04,1.305905729618347541e+05,3.603277651232659196e+00
2.933166278390042427e-03,1.232611494504848935e+02,1.232595115467432692e+02,1.637903741630421586e-03,1.637903696421038257e-03,4.520938324696552268e-11,1.000013288254359312e+00,5.218449256723168617e+01,1.576974783393970654e-03,3.851859735835727304e+06,9.999999598692077551e-01,8.958882801074687530e-04,1.272853906519578013e+05,3.921614561069084459e+00
3.072112998861759037e-03,1.232503876689549713e+02,1.232487956701238971e+02,1.591998831072984370e-03,1.591998777140080003e-03,5.393290436014254559e-11,1.000012916952432773e+00,5.074996418826746236e+01,1.714908217877797415e-03,3.851524864691372029e+06,9.999999517056945564e-01,9.827950228964118292e-04,1.237180112376178149e+05,4.264626872252570422e+00
3.217641750250735486e-03,1.232385841086920948e+02,1.232370415770574397e+02,1.542531634660651921e-03,1.542531570378446060e-03,6.428220585737854337e-11,1.000012516785658834e+00,4.920411437588554548e+01,1.863236430607835732e-03,3.851157549283045344e+06,9.999999418813281249e-01,1.078134207792272011e-03,1.198737981295199716e+05,4.633488876252130240e+00
3.370064329271928172e-03,1.232256381127616578e+02,1.232241487930808006e+02,1.489319680859837710e-03,1.489319604318339310e-03,7.654149830900458836e-11,1.000012086264709055e+00,4.754124089012895382e+01,2.022383053823855088e-03,3.850754649783775210e+06,9.999999300581422501e-01,1.182724418914520926e-03,1.157385710202291666e+05,5.029254060021081330e+00
3.529707302730649993e-03,1.232114393340611542e+02,1.232100071433925592e+02,1.432190668595068484e-03,1.432190577556668358e-03,9.103840020244794128e-11,1.000011623980079145e+00,4.575595931578277487e+01,2.192700897265682878e-03,3.850312723231017590e+06,9.999999158293788604e-01,1.297463785359040823e-03,1.112989399676029861e+05,5.452799789404181752e+00
3.696912707195028347e-03,1.231958668086665512e+02,1.231944958210475676e+02,1.370987618987064022e-03,1.370987510838698109e-03,1.081483658713648809e-10,1.000011128643449876e+00,4.384336405350753552e+01,2.374444496774178511e-03,3.849827994407736696e+06,9.999998987054746769e-01,1.423337727233290077e-03,1.065427057468960411e+05,5.904759043108725791e+00
3.872038781812556923e-03,1.231787879415737592e+02,1.231774823666043090e+02,1.305574969450363186e-03,1.305574841151666866e-03,1.282986963553315451e-10,1.000010599136663236e+00,4.179921875952865662e+01,2.567736488291235287e-03,3.849296323956384789e+06,9.999998780971983692e-01,1.561427459315431173e-03,1.014593334354152030e+05,6.385436791702730375e+00
4.055460735840827821e-03,1.231600573966990311e+02,1.231588215510072359e+02,1.235845691792604711e-03,1.235845539820938557e-03,1.519716661951782401e-10,1.000010034568991735e+00,3.962017878516429903e+01,2.772526699564360417e-03,3.848713173468976282e+06,9.999998532953456865e-01,1.712919327105320725e-03,9.604050557424451108e+04,6.894708267030097204e+00
4.247571552536898512e-03,1.231395158822646039e+02,1.231383541527637249e+02,1.161729500881344881e-03,1.161729321175245921e-03,1.797060989417176255e-10,1.000009434343254622e+00,3.730404769634051121e+01,2.988542702244751346e-03,3.848073567273866385e+06,9.999998234462963431e-01,1.879115057553144537e-03,9.028076007994575775e+04,7.431895995366602392e+00
4.448782831127585241e-03,1.231169888218952906e+02,1.231159056196990491e+02,1.083202196238650236e-03,1.083201984142193519e-03,2.120964567908774319e-10,1.000008798231152962e+00,3.485006919681871551e+01,3.215230412044601908e-03,3.847372050615595654e+06,9.999997875225861144e-01,2.061443015059094639e-03,8.417821619806878152e+04,7.995622082129528962e+00
4.659525668664682083e-03,1.230922849008807987e+02,1.230912846047374813e+02,1.000296143314139113e-03,1.000295893525983025e-03,2.497881561835950306e-10,1.000008126457909041e+00,3.225925466606993552e+01,3.451683170339284006e-03,3.846602643898046575e+06,9.999997442874740683e-01,2.261470562482148332e-03,7.773538902302226052e+04,8.583631852290650954e+00
4.880251583654433324e-03,1.230651944761163463e+02,1.230642813642646303e+02,9.131118517209793140e-04,9.131115582536213689e-04,2.934673579909493603e-10,1.000007419795911456e+00,2.953474497692833367e+01,3.696557596367671013e-03,3.845758792633269913e+06,9.999996922522812470e-01,2.480917637054722794e-03,7.096008926476212218e+04,9.192584591965783147e+00
5.111433483440165799e-03,1.230354878372145322e+02,1.230346660066726514e+02,8.218305418866191916e-04,8.218301980437395671e-04,3.438428796602084025e-10,1.000006679666540776e+00,2.668220320091236530e+01,3.947974378502564288e-03,3.844833312708520330e+06,9.999996296250197592e-01,2.721671662280908659e-03,6.386639982680781395e+04,9.817806836544320959e+00
5.353566677410724443e-03,1.230029133051808685e+02,1.230021865776738679e+02,7.267275070001469805e-04,7.267271053830432577e-04,4.016171037357688764e-10,1.000005908248684294e+00,2.371023216633947328e+01,4.203402094978606757e-03,3.843818330552308355e+06,9.999995542485299316e-01,2.985803929330404279e-03,5.647571418808578164e+04,1.045300345654177931e+01
5.607169938205458157e-03,1.229671951538651342e+02,1.229665669678932716e+02,6.281859718633821602e-04,6.281855044216087206e-04,4.674417734142844654e-10,1.000005108591606184e+00,2.063080754459343424e+01,4.459522145207815008e-03,3.842705217746664770e+06,9.999994635259839004e-01,3.275587595162771440e-03,4.881781340012059081e+04,1.108992176933745100e+01
5.872786613189483196e-03,1.229280313381378846e+02,1.229275046271148000e+02,5.267110230840238612e-04,5.267104812306964631e-04,5.418533274225389106e-10,1.000004284728829962e+00,1.745971316598313194e+01,4.712072967796182045e-03,3.841484519597337581e+06,9.999993543311622712e-01,3.593517459869429061e-03,4.093194862876509433e+04,1.171796414116343499e+01
6.150985788580504154e-03,1.228850910114018404e+02,1.228846680683658121e+02,4.229430360297619707e-04,4.229424108488753645e-04,6.251808865808109295e-10,1.000003441788488878e+00,1.421696060992236532e+01,4.955671967581883573e-03,3.840145877136431634e+06,9.999992229003844546e-01,3.942331702633528924e-03,3.286788458937525866e+04,1.232374515597805953e+01
6.442363508721370147e-03,1.228380118136360863e+02,1.228376941437811496e+02,3.176698549322682329e-04,3.176691375141519995e-04,7.174181162456321237e-10,1.000002586094253409e+00,1.092716983217604998e+01,5.183614032726555423e-03,3.838677941993161105e+06,9.999990647023314638e-01,4.325035774487158945e-03,2.468684608911811665e+04,1.289059056857726659e+01
